"id";"smeller_id";"sample_id";"intensity";"humor_id";"note_id";"image_id";"feeling";"name"
125;51;128;0;;;;0;""
126;52;46;0;;;;0;""
127;53;107;39;10;2;16;53;"Baby Powder"
128;54;171;7;13;2;8;27;"Pas d'odeur"
129;53;44;6;11;6;14;41;"no smell"
130;54;168;12;10;2;19;16;"almost no smell"
131;55;45;0;13;3;7;51;"néant"
132;53;167;31;11;6;14;45;"doesn't really smell"
133;54;153;8;6;4;8;0;""
134;54;160;13;7;6;13;22;""
135;53;109;63;2;1;2;85;"sweaty animal"
136;54;152;37;9;1;4;28;""
137;53;103;53;10;2;19;75;""
138;54;139;47;9;1;3;16;""
139;53;159;98;4;1;4;96;""
140;55;149;0;11;5;13;0;"pas d'odeur"
141;55;128;67;10;2;19;69;"plastique d'un tube falcon 50 mL,pas d'odeur à part cette odeur de plastique et aucune émotion, salut c'est alex"
142;55;167;0;8;4;6;0;"aucune odeur"
143;55;133;100;10;2;19;89;"falcon 50 mL"
144;55;176;50;12;3;13;0;"pas d'odeur"
145;56;36;0;6;4;8;54;"rien"
146;56;144;74;9;2;17;100;"creme réparatrice"
147;56;175;24;10;1;2;100;"sueur d'homme"
148;56;130;87;7;2;18;100;"désinfectant"
149;56;160;0;2;1;2;100;"rien"
150;56;71;34;1;6;13;100;"rien"
151;57;176;90;12;5;2;95;"stay far away from me"
152;58;138;11;6;2;8;46;"light odor"
153;57;123;52;9;2;10;87;"did you shower today?"
154;58;121;61;3;4;15;31;"rien"
155;57;142;17;7;4;17;51;"doesnt smell much"
156;57;103;47;1;6;16;57;"baby powder"
157;58;175;84;10;3;15;81;""
158;57;36;96;3;6;14;3;"Minty Fresh"
159;58;170;50;1;4;9;16;"verger"
160;58;130;63;6;6;8;35;"smell"
161;57;175;93;13;5;3;99;"stay far away from me"
162;58;167;7;5;5;14;23;"rain"
163;59;163;65;9;1;3;100;"vestiaire"
164;59;167;13;10;5;7;57;""
165;59;103;83;10;2;17;100;""
166;59;162;30;9;1;2;58;""
167;59;145;80;9;2;17;100;""
168;59;127;75;9;1;4;100;""
169;60;123;15;9;4;9;47;"morning wake up"
170;60;162;0;13;3;19;48;"just passing by"
171;60;45;85;7;4;9;0;"orangine"
172;60;148;0;11;5;7;67;"monday morning"
173;60;158;0;6;5;2;58;"where are you?"
174;60;161;6;11;5;12;50;"calm down"
175;61;129;0;6;2;18;46;"PLASTIC"
176;61;106;100;6;4;19;24;"Flower"
177;61;145;0;6;2;18;61;"PLASTIC"
178;61;175;76;5;1;4;80;"Fat"
179;61;101;0;;;;0;""
180;62;125;6;6;6;13;4;"subtle (not super smelly) "
181;63;45;81;3;4;9;0;"orange"
182;63;40;100;13;1;2;100;"sick"
183;63;158;0;6;2;7;0;"odorless--"
184;62;172;36;6;6;4;12;"subtle2"
185;63;133;0;13;6;18;0;"odorles--"
186;63;148;64;6;1;2;20;""
187;62;175;96;9;3;11;95;"BO"
188;62;173;93;9;3;2;98;"BO2"
189;63;150;24;13;5;16;21;"little odor"
190;62;130;58;13;5;3;69;"BO3"
191;62;170;74;9;1;2;58;"BO4"
